"","c.1858..1308.6454108778..1319.25490099832..1296.83779328179..","c.1858..1311..1334.88888888889..1318.3125..1281.8..1210.52777777778..","c.1587..1096.75164120286..1033.87634692189..1030.07173001498..","c.1587..1104.75..1053.44444444444..1053.5..1011.2..982.805555555556..","c.1549..1109.01247471053..967.404500148623..867.839707202324..","c.1549..1116.25..971.222222222222..870.5625..903.04..884.861111111111..","c.1286..966.93425776555..899.054913700119..869.040530208029..","c.1286..980..910.111111111111..881.5..898.64..915.611111111111..","c.1716..1412.16588948497..1347.05014743556..1285.60709142785..","c.1716..1429.75..1370.22222222222..1312.8125..1263.12..1237.13888888889..","c.1433..1112.42918642312..1070.68148704821..1057.09877862005..","c.1433..1141.75..1108.77777777778..1097.25..1105.92..1038.27777777778..","c.1517..1153.72237233402..952.128189593734..892.912450856463..","c.1517..1154.75..954.333333333333..899.5..916.72..912.138888888889..","c.1339..1011.23212718777..907.711992687869..926.90477432643..","c.1339..1013.25..908.222222222222..947.1875..939.2..955.166666666667..","c.2213..1629.40780723639..1571.59431634648..1455.19388253684..","c.2213..1645.75..1602.88888888889..1473.3125..1376.48..1350.66666666667..","c.1597..1293.73522318957..1169.99378373649..1157.00737201407..","c.1597..1309..1206.55555555556..1182.9375..1153.8..1106.5..1142.36734693878..","c.1718..1285.8165648643..1150.35172041886..1115.70476157713..","c.1718..1284.5..1152.44444444444..1128.4375..1086.76..1096.86111111111..","c.1555..1258.16629258509..1230.84401957279..1117.08789156272..","c.1555..1271.25..1243.66666666667..1120.625..1075.6..1141.58333333333.."
"1",1858,1858,1587,1587,1549,1549,1286,1286,1716,1716,1433,1433,1517,1517,1339,1339,2213,2213,1597,1597,1718,1718,1555,1555
"2",1308.6454108778,1311,1096.75164120286,1104.75,1109.01247471053,1116.25,966.93425776555,980,1412.16588948497,1429.75,1112.42918642312,1141.75,1153.72237233402,1154.75,1011.23212718777,1013.25,1629.40780723639,1645.75,1293.73522318957,1309,1285.8165648643,1284.5,1258.16629258509,1271.25
"3",1319.25490099832,1334.88888888889,1033.87634692189,1053.44444444444,967.404500148623,971.222222222222,899.054913700119,910.111111111111,1347.05014743556,1370.22222222222,1070.68148704821,1108.77777777778,952.128189593734,954.333333333333,907.711992687869,908.222222222222,1571.59431634648,1602.88888888889,1169.99378373649,1206.55555555556,1150.35172041886,1152.44444444444,1230.84401957279,1243.66666666667
"4",1296.83779328179,1318.3125,1030.07173001498,1053.5,867.839707202324,870.5625,869.040530208029,881.5,1285.60709142785,1312.8125,1057.09877862005,1097.25,892.912450856463,899.5,926.90477432643,947.1875,1455.19388253684,1473.3125,1157.00737201407,1182.9375,1115.70476157713,1128.4375,1117.08789156272,1120.625
"5",1262.24793527172,1281.8,988.336535391027,1011.2,882.020833324934,903.04,874.953849044781,898.64,1237.55612909238,1263.12,1068.39467751541,1105.92,897.06759072401,916.72,912.062130816706,939.2,1366.72929462502,1376.48,1121.95336165194,1153.8,1073.15525843786,1086.76,1071.50176870259,1075.6
"6",1196.40652344841,1210.52777777778,957.037567354231,982.805555555556,863.723383085583,884.861111111111,889.166606010904,915.611111111111,1208.4403342306,1237.13888888889,1008.66635554386,1038.27777777778,890.344113344854,912.138888888889,923.043876212584,955.166666666667,1334.76340074028,1350.66666666667,1076.69843321701,1106.5,1076.75895684458,1096.86111111111,1114.54416710892,1141.58333333333
"7",1154.41524886605,1177.81632653061,997.530496488639,1035.10204081633,873.239849275188,897.918367346939,895.986073865977,923.061224489796,1192.3958435636,1228.42857142857,1010.35302461102,1043.14285714286,903.104790799146,930.387755102041,952.432372217334,989.326530612245,1320.66936681037,1344.04081632653,1099.25909641749,1142.36734693878,1096.64980686772,1124.28571428571,1161.78971747602,1197.75510204082
"8",1119.67855315656,1139.25,975.882352316292,1015.328125,867.740356947244,898.875,925.181523200242,963.84375,1188.4451394142,1229.953125,1011.54215254826,1050.46875,909.403882078366,942.765625,967.982363306675,1012.28125,1331.63156073562,1366.546875,1098.09877872592,1142.578125,1100.74075299992,1137.90625,1115.79744791485,1147.984375
"9",1091.25089616381,1113.23456790123,961.358788608198,998.728395061728,894.373094875978,934.753086419753,946.413338715065,989.654320987654,1185.87312443122,1234.56790123457,1005.71071576806,1048.11111111111,918.929092283513,960.827160493827,973.575360307035,1023.45679012346,1345.69016005587,1391.65432098765,1133.5986906954,1186.79012345679,1096.39007942174,1134.72839506173,1108.48284635834,1138.9012345679
"10",1098.50489279116,1125.82,1000.98233402781,1053.72,912.264971870477,957.74,974.524495828931,1026.49,1171.30747464529,1217.15,1034.8374843461,1089.87,934.811289940003,980.63,993.867958253141,1046.88,1335.95987585139,1385.7,1132.6701955093,1189.96,1122.39926920052,1165.69,1135.14983065006,1175.22
"11",1131.67162176213,1172.39669421488,997.470796637455,1054.5867768595,941.61473499532,992.727272727273,992.970088823836,1045.95867768595,1191.01318435842,1241.14049586777,1052.0476825334,1112.34710743802,972.889090695567,1027.7520661157,1009.20280441879,1064.02479338843,1360.38323282631,1419.4958677686,1135.21403193903,1191.95041322314,1150.74217058288,1203.42148760331,1159.76753059882,1205.95867768595
"12",1184.10839547975,1244.29861111111,1016.44527726412,1075.02777777778,953.337547335311,1004.89583333333,1011.82508314904,1070.61805555556,1167.72136399996,1217.375,1041.45151843921,1100.83333333333,966.82621256654,1022.70833333333,1028.2519330358,1088.65972222222,1343.92350510046,1398.08333333333,1161.76596648776,1227.5,1173.27272210184,1237.59027777778,1202.39337996414,1263.11805555556
